,Job,Salary_Begin,Salary_End,Hourly,Monthly,Yearly,Company,Rating,Posted_Date,Posted_Month,Type,Benefits,Qualifications,Job Link,Job_simp,Job_seniority,Location_type,num_Qualifications,num_Benefits,Salary_Average,num_Type,Date_Posted_Complete
422,Software Engineer II - Remote,93656.0,140803.0,0.0,0.0,1.0,Akamai,4.1,,,nan,"paidtimeoff,employeestockpurchaseplan,employeeassistanceprogram,healthinsurance,401(k),parentalleave","rest,java,apis,tcp,paas,dns,2years,spring,full-stackdevelopment,bachelor'sdegree,linux,softwaredevelopment,tcp/ip",https://www.simplyhired.com/job/OM257HrUZQp_TAskbomX0wfR8p55TNh1ACtynGkMpSXHtP92pYRMfw,Software Engineer,,Remote,13,6,117229.5,0,nan
423,NEXT JS Developer,94800.0,120000.0,0.0,0.0,1.0,"Streamlly, Inc",,4.0,10.0,nan,nan,"git,apis,javascript,react,ecmascript,agile,html5,angular,vue.js,communicationskills,computerengineering,unittesting,bachelor'sdegree,css,softwareengineering,softwaredevelopment,computerscience,back-enddevelopment",https://www.simplyhired.com/job/zxng0x_OZLpi-PdsqVygA1D9rxUnFcYrY6Ep6-R2eGoUb_f8SaZAfg,Software Developer,,Remote,18,0,107400.0,0,4/10/2023
424,"Product Owner, IT Contact Center Solutions",,110000.0,0.0,0.0,1.0,Evolent Health,3.1,29.0,9.0,Full-time,nan,"usability,sdlc,projectmanagement,agile,driving,communicationskills,bachelor'sdegree,productdevelopment,customerservice,productmanagement,computerscience,management",https://www.simplyhired.com/job/L8pSLBJenPX1BpofsNVllRkAu4MBFNKR7yvCcL5VJvb9eu065YEblQ,IT Engineer,,Remote,12,0,,1,29/9/2023
425,Customer Ops BI Analyst,67300.0,85200.0,0.0,0.0,1.0,Hard Rock Digital,4.0,29.0,9.0,Full-time,nan,"businessintelligence,microsoftexcel,powerbi,sql,bachelor'sdegree,analysisskills,tableau,analytics,2years,associate'sdegree,datamining",https://www.simplyhired.com/job/Udnd6rOkr0iL6fnKKKjH7piy7hxjjmZ5GWiRO4Ow1y58E-Z2qqALaw,Analyst,,Remote,11,0,76250.0,1,29/9/2023
426,Solution Architect,120000.0,160000.0,0.0,0.0,1.0,FlexTG,,6.0,10.0,nan,nan,"mongodb,2years,projectmanagement,react,aws,microsoftsqlserver,databases,communicationskills,mysql,operatingsystems,bachelor'sdegree,node.js,softwaredevelopment,computerscience,cloudinfrastructure",https://www.simplyhired.com/job/lywtPhJyK-YeywuYbfSc8ZUJ_IXt5ZASueVsSLY3witF7TcCXMTKww,Others,,Remote,15,0,140000.0,0,6/10/2023
427,Data Engineer,110657.0,120081.0,0.0,0.0,1.0,Sanametrix,4.4,,,Full-time,"flexiblespendingaccount,healthsavingsaccount,paidtimeoff,flexibleschedule,401(k)matching,tuitionreimbursement,healthinsurance,professionaldevelopmentassistance,dentalinsurance,401(k),employeeassistanceprogram,lifeinsurance","apis,aws,microsoftsqlserver,linux,s3,datamodeling,4years,java,awscertification,spark,shellscripting,bachelorofscience,git,scripting,nosql,redshift,sql,bachelor'sdegree,python,jira,datawarehouse,informatica,master'sdegree,computerscience",https://www.simplyhired.com/job/hdhvIFpFN9euvQxUJBX_8qH4l4MfWaEm925cmTBMVlMd9eQSkXv49A,Data Engineer,,Remote,24,12,115369.0,1,nan
428,Customer Support Analyst,48600.0,61500.0,0.0,0.0,1.0,Springbrook Holding Company LLC,,30.0,9.0,Full-time,nan,"salesforce,saas,communicationskills,bachelor'sdegree,customerservice,2years,computerscience,taxexperience",https://www.simplyhired.com/job/q-gKcWU-OWdhLG4Td3yJARU_M7S4Vv0W_NrGrjPMXo3gcwSF8ybJWA,Analyst,,Remote,8,0,55050.0,1,30/9/2023
429,Quantitative Researcher,155000.0,165000.0,0.0,0.0,1.0,Delavan Lake Trading,,5.0,10.0,Full-time,"paidtimeoff,healthinsurance,dentalinsurance","machinelearning,apis,research,python,sql,master'sdegree,3years,linux,computerscience",https://www.simplyhired.com/job/4dxrVeyasR-v2RXgAuTtg4OPd_wo42QhCbrbdtHpSG46lcnfVcJvxQ,Others,,Remote,9,3,160000.0,1,5/10/2023
430,SOFTWARE QUALITY ASSURANCE ENGINEER - REMOTE,90000.0,110000.0,0.0,0.0,1.0,FCP Euro,3.9,,,Full-time,nan,"html5,testautomation,10years,cucumber,rubyonrails,writingskills,webdevelopment,testcases,bachelorofscience,scripting,sql,bachelor'sdegree,softwarequalityassurance,jira,javascript,coffeeexperience,selenium,master'sdegree,computerscience",https://www.simplyhired.com/job/NaquslXyZgWz9cK8E59Pra9uQw-ANJcx2Frb24fEp5OpVEqMBI37VQ,Quality Assurance Engineer,,Remote,19,0,100000.0,1,nan
431,Advanced Support Engineer,90000.0,95000.0,0.0,0.0,1.0,Meridian Knowledge Solutions,4.1,,,nan,"visioninsurance,disabilityinsurance,paidtimeoff,401(k)matching,healthinsurance,dentalinsurance,401(k),lifeinsurance","pl/sql,xml,2years,javascript,html5,microsoftsqlserver,webservices,c#,asp.net,softwaretroubleshooting,sql,bachelor'sdegree,softwaredevelopment,computerscience,wcf,.net",https://www.simplyhired.com/job/FTvbB_MZX6XeFMOjyFOjQToyYFEwgZaHtqyRunBnkmnKPgo20IY0Ow,Others,,Remote,16,8,92500.0,0,nan
432,Technical Support Engineer,55400.0,70100.0,0.0,0.0,1.0,Legrand North America,3.5,,,Full-time,"visioninsurance,paidtimeoff,paidparentalleave,401(k)matching,volunteertimeoff,healthinsurance,dentalinsurance,401(k),parentalleave","ldap,vmware,english,timemanagement,tcp/ip,tcp,customersupport,esxi,computernetworking,communicationskills,bachelor'sdegree,customerservice,2years,computerskills,computerscience,systemadministration",https://www.simplyhired.com/job/tPkGPdkcVjRnJ_Y6rK_N8Fm8Jdhyk2EeiCRhdAbWopH1USU7C2guTA,Others,,Remote,16,9,62750.0,1,nan
433,Epidemiologist,,,,,,CDC Foundation,4.4,,,Full-time,nan,"statisticalsoftware,mathematics,surveydesign,microsoftaccess,economics,publichealth,spss,sas,bachelor'sdegree,gis,r",https://www.simplyhired.com/job/lOnx3k_U6CpfXRRo5I501gnJGqYAnAcKYR8jhN0qfoeChrKkfDesjw,Others,,Remote,11,0,,1,nan
434,CONTRACTOR TO PERM- Application Support Engineer,87000.0,110000.0,0.0,0.0,1.0,OpenClinica,4.0,5.0,10.0,Contract,nan,"xml,apis,softwaretroubleshooting,linux,writingskills,java,1year,shellscripting,servicenow,helpdesk,communicationskills,it,sql,bachelor'sdegree,softwarequalityassurance,computerskills,jira,organizationalskills,javascript,computerliteracy",https://www.simplyhired.com/job/t0PqoFxehyI6QZQd09HwIWT5vy8rnjTpSfcRs5NoVsHqW-D5GmMQKg,Others,,Remote,20,0,98500.0,1,5/10/2023
435,Business Analyst II,,82000.0,0.0,0.0,1.0,PrintMail Solutions,2.8,6.0,10.0,Full-time,"familyleave,retirementplan,prescriptiondruginsurance,visioninsurance,disabilityinsurance,healthsavingsaccount,paidtimeoff,401(k)matching,paidholidays,healthinsurance,dentalinsurance,401(k),workfromhome,lifeinsurance","xml,kanban,3years,microsoftexcel,business,visio,netsuite,wireframing,analysisskills,datamining,xslt,communicationskills,it,sql,bachelor'sdegree,dataanalysisskills,microsoftword,jira,businessanalysis,agile,microsoftoutlook,scrum,computerscience,financialservices",https://www.simplyhired.com/job/vVld15GAp1xfrYYk5y0qylF9cy7jhKm2jF_QC_tnmU5_SZlrr8in8g,Analyst,,Remote,24,14,,1,6/10/2023
436,Software Engineer,85000.0,120000.0,0.0,0.0,1.0,Squaremouth,3.7,,,Full-time,"401(k),401(k)matching","machinelearning,apis,html5,aws,testautomation,docker,kubernetes,4years,rubyonrails,applicationdevelopment,ai,ruby,php,css,bachelorofscience,continuousintegration,bachelor'sdegree,graphql,go,rest,javascript,computerscience,service-orientedarchitecture",https://www.simplyhired.com/job/W55hyIyLc-BDpsYfqsoX-63rDa2PNvlZM2RP6YTexcDDiTUuug-eUg,Software Engineer,,Remote,23,2,102500.0,1,nan
437,Software Engineer-REMOTE,90000.0,110000.0,0.0,0.0,1.0,"Brandt Information Services, LLC",3.7,,,Full-time,"visioninsurance,disabilityinsurance,paidtimeoff,unlimitedpaidtimeoff,paidparentalleave,401(k)matching,healthinsurance,dentalinsurance,401(k),parentalleave,lifeinsurance","git,.net,sdlc,continuousintegration,javascript,c#,angular,entityframework,azure,sql,bachelor'sdegree,.netcore,analysisskills,5years,restfulapi,devops",https://www.simplyhired.com/job/ukAGvjm2-C2c0M8Af6pMYyLUa-x-_8OUnJPPSXQoGmhWrs4KmeEKPg,Software Engineer,,Remote,16,11,100000.0,1,nan
438,"Information Security Analyst, IS&T",83700.0,106000.0,0.0,0.0,1.0,George Washington Medical Faculty Associates,2.8,26.0,9.0,Full-time,"visioninsurance,flexiblespendingaccount,healthsavingsaccount,paidtimeoff,tuitionreimbursement,healthinsurance,dentalinsurance,401(k),lifeinsurance","computerforensics,cybersecurity,healthcareit,ids,it,masteroffinearts,bachelor'sdegree,master'sdegree,linux,2years,computerskills,computerscience,informationsecurity",https://www.simplyhired.com/job/nGmOpFM2Ch0cSEgioeUwNDUkWS3azXcDJiPnhoaFNSG7ha8_ox_xXw,Analyst,,Remote,13,9,94850.0,1,26/9/2023
439,Software Develop Consultant,120000.0,152000.0,0.0,0.0,1.0,Voya Financial,3.3,,,Full-time,"cashbalancepensionplan,visioninsurance,paidtimeoff,401(k)matching,tuitionreimbursement,healthinsurance,dentalinsurance,401(k),lifeinsurance","apis,angular,sso,java,spring,1year,github,azure,performancetuning,oracle,springboot,communicationskills,bachelor'sdegree,ci/cd,test-drivendevelopment,rest,javascript,agile,scrum,json,jenkins,master'sdegree,softwaredevelopment,computerscience,financialservices",https://www.simplyhired.com/job/AcZr3VYn022f3bJOI-lPfe1wW9-fq9LvASj5uv9gUNu9n7m49AFOAQ,Others,,Remote,25,9,136000.0,1,nan
440,Database Analyst- 20 hours/wk.- Remote,80000.0,90000.0,1.0,0.0,0.0,Ellumen,3.6,4.0,10.0,Part-time,nan,"databasemanagement,postgresql,microsoftoffice,angular,bachelor'sdegree,.netcore,relationaldatabases,computerscience,7years",https://www.simplyhired.com/job/7IUhYEv1Afp1wM9sK5q1ytnF4StbMVLtiP5x_dLEK6rYpEPtQLu7oA,Analyst,,Remote,9,0,85000.0,1,4/10/2023
441,Sr IT Systems Analyst - Ambulatory,74060.0,111100.0,1.0,0.0,0.0,Summa Health,3.5,6.0,10.0,Full-time,nan,"wordprocessing,epiccertification,nursing,administrativeexperience,communicationskills,bachelor'sdegree,computerscience,4years",https://www.simplyhired.com/job/9q3K6AQkFL-pvqR6_HKAaegud2geQpYB4XDlTuupcVWL9k5s9E5KFA,Analyst,senior,Remote,8,0,92580.0,1,6/10/2023
442,Data Engineer,120000.0,152000.0,0.0,0.0,1.0,CareMetx,3.0,,,nan,nan,"apis,microsoftsqlserver,hbase,scala,mongodb,java,databases,mysql,bigdata,oracle,nosql,datavisualization,ci/cd,dynamodb,python,datawarehouse,postgresql,cassandra,datagovernance,etl,5years",https://www.simplyhired.com/job/OaEI_xnIo5JmXiDLol6JIK3D1_zcOWJTr9emoDGXAg1F1MzYtp2vSw,Data Engineer,,Remote,21,0,136000.0,0,nan
443,System Administrator (Remote),70000.0,100000.0,0.0,0.0,1.0,"Alliant International University, Inc.",3.7,,,nan,opportunitiesforadvancement,"vmware,powershell,firewall,customerservice,3years,mentoring,writingskills,systemhardening,virtualization,windows,azure,analysisskills,systemadministration,informationsecurity,salesforce,university,scripting,communicationskills,microsoftwindowsserver,it,activedirectory,bachelor'sdegree,computerskills,management,networkprotocols,computerscience,lms",https://www.simplyhired.com/job/zOQqa4G1iaEI130Gp6b3ESIQMdGcIYmnUZOmL4WdWE8gRPlWiM-Fhw,Administrator,,Remote,27,1,85000.0,0,nan
444,Data Integration Analyst - Remote,90937.0,127316.0,0.0,0.0,1.0,Mayo Clinic,3.9,,,Full-time,"opportunitiesforadvancement,continuingeducationcredits","sales,etl,bachelor'sdegree,master'sdegree,mcp,4years",https://www.simplyhired.com/job/6ZC3WQ6llq0b9jz2AHAUtmNWvS_Z5mtnXoYCxWD5sEUD_Ir_a2D-ew,Analyst,,Remote,6,2,109126.5,1,nan
445,Senior Software Development Engineer in Test,104000.0,154000.0,0.0,0.0,1.0,Ancestry,3.8,3.0,10.0,Full-time,"healthinsurance,dentalinsurance,visioninsurance","bachelorofscience,java,aws,agile,ruby,jenkins,python,master'sdegree,ci/cd,bachelor'sdegree,bioinformatics,2years,computerscience",https://www.simplyhired.com/job/OQ0iYm5yP3P13Iypjha2iXFFNxIt0-pq2SJQJKRT-5E6qyB2_3BTzA,Others,senior,Remote,13,3,129000.0,1,3/10/2023
446,Technical Support Analyst II,86205.0,129308.0,0.0,0.0,1.0,SKYGEN USA,2.9,,,Full-time,nan,"organizationalskills,ssis,projectmanagement,2years,systemdesign,microsoftsqlserver,managementinformationsystems,scrum,communicationskills,ssrs,sql,bachelor'sdegree,tfs,softwaredevelopment,computerscience,visualstudio",https://www.simplyhired.com/job/0pTNqHFP-L3MCdj2bYJJ8ydlxqmhzL9hSxB78eAQv2pP6K7k963U_g,Analyst,senior,Remote,16,0,107756.5,1,nan
447,Windows Administrator,90000.0,110000.0,1.0,0.0,0.0,IT Seals Inc,,4.0,10.0,Full-time,nan,"timemanagement,scripting,conflictmanagement,9years,sccm,11+years,computernetworking,microsoftwindowsserver,windows,computerengineering,powershell,bachelor'sdegree,10years,computerscience",https://www.simplyhired.com/job/MzNIBWCbl5cRDSFFIh2ZLk5jsEDSJwVd8dyOiSDqKbd2cSgj97RIDQ,Administrator,,Remote,14,0,100000.0,1,4/10/2023
448,Desktop Support Analyst (Remote - Houston),59300.0,75100.0,0.0,0.0,1.0,"Cayuse Commercial Services, LLC",4.5,30.0,9.0,Full-time,nan,"microsoftexcel,computerskills,microsoftoffice,computerscience,communicationskills,bachelor'sdegree,analysisskills,sharepoint,highschooldiplomaorged,microsoftword,microsoftpowerpoint,7years",https://www.simplyhired.com/job/gO2IWg4uu9Rnueba8zSC6TK-b8KKAEkLyhDsPEvoVBQbyzDsQcUEPQ,Analyst,,Remote,12,0,67200.0,1,30/9/2023
449,K12 Technical Consultant -Google for Education,81500.0,103000.0,0.0,0.0,1.0,CDW,3.7,,,Full-time,nan,"timemanagement,educationadministration,informationsystems,communicationskills,bachelor'sdegree,customerservice,3years,computerscience,systemadministration,teaching",https://www.simplyhired.com/job/ZJJuSXt0SiStgF8W8DEHgue444Dr085yw1QpB48qT4f2A1DTF21fmQ,Others,,Remote,10,0,92250.0,1,nan
450,Shopify Front-End Developer - Remote,73100.0,92600.0,0.0,0.0,1.0,Legends,3.9,,,Full-time,"visioninsurance,disabilityinsurance,paidtimeoff,healthinsurance,dentalinsurance,401(k)","git,ux,ui,apis,uidesign,e-commerce,webdevelopment,agile,html5,bachelor'sdegree,css,2years,computerscience",https://www.simplyhired.com/job/KhSOmZpfc6Ng4zxirWFhc9fDQKsh1UT0aBbxzplRSwLqbjo5y67v9w,Software Developer,,Remote,13,6,82850.0,1,nan
451,Product Engineer,70000.0,80000.0,0.0,0.0,1.0,OnviSource,3.6,,,Full-time,"visioninsurance,paidtimeoff,healthsavingsaccount,401(k)matching,healthinsurance,dentalinsurance,401(k),lifeinsurance","bachelorofscience,machinelearning,qualityassurance,sales,ai,testautomation,communicationskills,master'sdegree,bachelor'sdegree,productdemos,3years,analytics,computerscience,management,softwarequalityassurance",https://www.simplyhired.com/job/sMVmB-a-bjKntQB33FD4cJQIxC49D7QfvjPt2sQNW5Tm3KO_pBJw6Q,Others,,Remote,15,8,75000.0,1,nan
452,Clinical Systems Analyst - Ambulatory,,,,,,UW Health,3.5,3.0,10.0,Full-time,"retirementplan,paidtimeoff,tuitionreimbursement,healthinsurance,dentalinsurance","oracle,organizationalskills,epiccertification,agile,pmp,master'sdegree,bachelor'sdegree,2years,computerscience,associate'sdegree,mentoring",https://www.simplyhired.com/job/UVh4Vb5GGIRkqZ9u5oPXCjICmj919K54EvZWCgP1hPJdUcs0eYT11g,Analyst,,Remote,11,5,,1,3/10/2023
453,REMOTE* Oracle QA Tester,101000.0,128000.0,0.0,0.0,1.0,OscarMike,,,,nan,nan,"oracle,ppmtools,it,bachelor'sdegree,6years,computerscience",https://www.simplyhired.com/job/UjL6IhGKYcZF3brZ4K4_rQl3tUoDwrGMjsg7fZWm9zTpeMYHweXIBw,Others,,Remote,6,0,114500.0,0,nan
454,Senior Software Engineer - Families,150000.0,190000.0,0.0,0.0,1.0,Afterpay,3.8,6.0,10.0,Full-time,"retirementplan,ad&dinsurance,caregiverleave,visioninsurance,paidsicktime,healthsavingsaccount,flexiblespendingaccount,paidtimeoff,paidparentalleave,employeestockpurchaseplan,healthinsurance,dentalinsurance,parentalleave,lifeinsurance","java,kafka,aws,json,grpc,mysql,junit,hibernate,bachelor'sdegree,kotlin,softwareengineering,dynamodb,computerscience",https://www.simplyhired.com/job/-XQy-fkBom5qjlUUthl9oqUPyqZLKmjDVhdaWLco5WzsDzAd2lesig,Software Engineer,senior,Remote,13,14,170000.0,1,6/10/2023
455,Quality Assurance Analyst III - 3 month Contract (REMOTE),80300.0,102000.0,0.0,0.0,1.0,Co-op Solutions,3.1,5.0,10.0,Full-time,nan,"businessrequirements,ui,apis,business,businessadministration,sql,kanban,bachelor'sdegree,useracceptancetesting,5years,computerscience",https://www.simplyhired.com/job/QVIaOLXyzX-QRycHfnBP5FGo-LYwwFiJPonBmn97ctuj-KBTVlcRjw,Analyst,,Remote,11,0,91150.0,1,5/10/2023
456,Senior Front End Product Software Engineer,128000.0,162000.0,0.0,0.0,1.0,Dropbox,4.0,23.0,9.0,nan,"visioninsurance,disabilityinsurance,flexiblespendingaccount,paidtimeoff,401(k)matching,rsu,healthinsurance,travelreimbursement,dentalinsurance,401(k),parentalleave,lifeinsurance","bachelorofscience,8years,react,javascript,typescript,html5,angular,bachelor'sdegree,css,computerscience",https://www.simplyhired.com/job/6FSX8Rh1qyaAVtREYt4gCH5PZ1MLzNAlCZu3cLaJRbTgBl6kP9YPlQ,Software Engineer,senior,Remote,10,12,145000.0,0,23/9/2023
457,Product Support Engineer,94900.0,120000.0,0.0,0.0,1.0,Velo3D,3.3,,,Full-time,"401(k),healthinsurance","manufacturing,microsoftexcel,driver'slicense,military,mechanicalknowledge,communicationskills,windows,master'sdegree,bachelor'sdegree,analysisskills,5years,computerskills,rootcauseanalysis,vba",https://www.simplyhired.com/job/MAV9iffO0TMHiCFzOWWeE04NDGvFHFh-YZYAQXfh6e3jLmaC22eggA,Others,,Remote,14,2,107450.0,1,nan
458,Software Engineer IT,77100.0,115900.0,0.0,0.0,1.0,Prime Therapeutics,3.2,,,Full-time,nan,"applicationdevelopment,pci,agile,bachelor'sdegree,ci/cd,analysisskills,hipaa,2years,highschooldiplomaorged,computerscience",https://www.simplyhired.com/job/6-oKfs-1kvP4b4Xk_9d6wqR1XswXX8lsOZKR7pEh9FXtsKE8rr3Phw,Software Engineer,,Remote,10,0,96500.0,1,nan
459,Consultant,84000.0,106000.0,0.0,0.0,1.0,"Yardi Systems, Inc.",3.9,,,Full-time,"paidtimeoff,profitsharing,healthinsurance,dentalinsurance,401(k),lifeinsurance","business,erpsystems,projectmanagement,accounting,yardi,propertymanagement,communicationskills,finance,bachelor'sdegree,3years,computerscience,teaching",https://www.simplyhired.com/job/jZYQYW8Zu7GPN8Bqlc9bDA8hQGf1JzICZmbC6FUv0X6KLQBYmcll_w,Others,,Remote,12,6,95000.0,1,nan
460,"Product Manager, Data & Reporting",102000.0,141000.0,0.0,0.0,1.0,GumGum,4.2,30.0,9.0,nan,"401(k),workfromhome,401(k)matching","organizationalskills,2years,communicationskills,bachelor'sdegree,productdevelopment,productmanagement,negotiation,softwaredevelopment,computerscience",https://www.simplyhired.com/job/56rsGnhLLeGrPmh2HCz9z_kL_WkVbdg7niKiXCNhwwGacOslqzEnSA,Manager,,Remote,9,3,121500.0,0,30/9/2023
461,System Administrator - All Levels - ITOPS _ REMOTE,76400.0,96700.0,0.0,0.0,1.0,Information Sciences Consulting Inc,4.5,,,nan,"visioninsurance,disabilityinsurance,paidtimeoff,healthinsurance,401(k)","highavailability,bachelor'sdegree,debugging,5years,management",https://www.simplyhired.com/job/LBvSKbUXU2HbBOaZ8DD_B3Ji3ElXAy1EYDIsufGRs-e-RHSSbfvD7g,Administrator,,Remote,5,5,86550.0,0,nan
462,Containerization Expert,140000.0,200000.0,1.0,0.0,0.0,Synovize,,23.0,9.0,"Full-time,Contract","visioninsurance,paidtimeoff,flexibleschedule,401(k)matching,healthinsurance,dentalinsurance,referralprogram,401(k),lifeinsurance","aws,ansible,python,topsecretclearance,docker,awscertification,bachelor'sdegree,terraform,computerscience,kubernetes,devops",https://www.simplyhired.com/job/D3yjcDT_ya9fr5QKbKFbdKcKECgaZ4eWCGLGTXu6fPRGVSiQsH2-gw,Others,senior,Remote,11,9,170000.0,2,23/9/2023
463,Digital Banking Support Engineer,109000.0,138000.0,0.0,0.0,1.0,SMK Soft Inc,5.0,6.0,10.0,"Full-time,Contract",nan,"apis,microservices,c#,kubernetes,.net,java,splunk,technicalsupport,cloudarchitecture,windows,azure,communicationskills,bachelor'sdegree,itsupport,7years,c,javascript,microsoftoffice,banking,computerscience,financialservices",https://www.simplyhired.com/job/xqgGmwSfGdyJczCM-VHraRdwl6R4EhNmH5q24thaAKkFzlmmpx5zdQ,Others,,Remote,21,0,123500.0,2,6/10/2023
464,Data Engineer,150000.0,160000.0,0.0,0.0,1.0,Argano,,27.0,9.0,nan,"visioninsurance,paidparentalleave,healthinsurance,dentalinsurance,401(k),parentalleave","agile,multilingual,azure,sql,bachelor'sdegree,ci/cd,t-sql,analytics,5years,associate'sdegree,microsoftproject,datamodeling",https://www.simplyhired.com/job/k12QppyoK_BUlDKWccPbSJgH1ZTd2kha1ocIivV2LkC36Zr2N_p6Fw,Data Engineer,,Remote,12,6,155000.0,0,27/9/2023
465,Data Engineer,,,,,,Brillient Corporation,2.7,4.0,10.0,Full-time,"401(k),healthinsurance,dentalinsurance","scala,datamodeling,mongodb,java,kafka,mysql,spark,oracle,apache,nosql,communicationskills,redshift,sql,bachelor'sdegree,apachehive,python,management,hadoop,databasemanagement,postgresql,etl,5years",https://www.simplyhired.com/job/QJtT3wf3RJwTN5EATECZ5iRVowgSJq6nu6ss-vnSn1UW-bs3hUjWMA,Data Engineer,,Remote,22,3,,1,4/10/2023
466,Associate Data Scientist,63600.0,104880.0,0.0,0.0,1.0,TriNet,3.3,30.0,9.0,Full-time,"visioninsurance,disabilityinsurance,paidtimeoff,employeestockpurchaseplan,healthinsurance,dentalinsurance,401(k)","machinelearning,datascience,organizationalskills,microsoftoffice,communicationskills,python,sql,master'sdegree,bachelor'sdegree,analytics,softwaredevelopment,masterofbusinessadministration,computerscience,supervisingexperience,r",https://www.simplyhired.com/job/eUY75AJKCKgX8pun7pP114WSkwOBx--fU8Xx8nbMg-vOgsl9D2B2DQ,Data Scientist,,Remote,15,7,84240.0,1,30/9/2023
467,Customer Engineer I,84900.0,108000.0,0.0,0.0,1.0,Woolpert,3.7,,,nan,nan,"paas,aws,c#,googlecloudplatform,java,c++,azure,cgmp,bachelorofscience,iaas,bachelor'sdegree,ci/cd,analytics,python,go,c,javascript,pipeline,2years,computerscience,cloudinfrastructure",https://www.simplyhired.com/job/yMwwxRcH0H_JF1jPmrpE3oSUCpDKldFU6paVQ_JvhDtMcgEJg4xDtw,Others,,Remote,21,0,96450.0,0,nan
468,Senior IT Specialist,140000.0,160000.0,0.0,0.0,1.0,Magic,4.0,23.0,9.0,nan,"ad&dinsurance,visioninsurance,flexiblespendingaccount,paidparentalleave,employeeassistanceprogram,healthinsurance,dentalinsurance,stockoptions,401(k),parentalleave","organizationalskills,scripting,projectmanagement,slack,budgeting,communicationskills,it,masterdatamanagement,bachelor'sdegree,computerscience,maven,4years",https://www.simplyhired.com/job/ryFy_Zh0ggvk2Maa4jPcIQ-kIRg16Vf0MPqfBELlrNCxQb-yO18NHg,IT Engineer,senior,Remote,12,10,150000.0,0,23/9/2023
469,Data Analyst I,58200.0,73600.0,0.0,0.0,1.0,Visual Connections,4.1,,,Full-time,"visioninsurance,disabilityinsurance,paidtimeoff,tuitionreimbursement,healthinsurance,dentalinsurance,employeeassistanceprogram,lifeinsurance","pivottables,timemanagement,r,microsoftexcel,math,1year,databases,analysisskills,bachelorofscience,communicationskills,sas,sql,dataanalysisskills,bachelor'sdegree,analytics,microsoftword,python,microsoftoffice,cognos,microsoftpowerpoint,relationaldatabases,medicalcoding",https://www.simplyhired.com/job/fhOt1JHDog2bdXHmCEDE5orswn6ovxBqCdx0EDpBIBnDAE_wqd3x6A,Analyst,,Remote,22,8,65900.0,1,nan
470,Quality Engineer - 303629,92800.0,117000.0,0.0,0.0,1.0,Grainger,3.6,30.0,9.0,nan,nan,"pl/sql,safe,cucumber,mobiletesting,java,splunk,sdlc,gitlab,hpservicemanager,mysql,oracle,junit,sql,bachelor'sdegree,ci/cd,test-drivendevelopment,agile,jenkins,selenium,5years,computerscience",https://www.simplyhired.com/job/87zYhfgIqUlJc8TTHd7AHJX28XJba7R0Zv5A5-9do30tUQHQCdVQpA,Quality Assurance Engineer,,Remote,21,0,104900.0,0,30/9/2023
471,Senior Specialist HIMS - Remote,44580.0,64340.0,1.0,0.0,0.0,Mayo Clinic,3.9,4.0,10.0,Full-time,"opportunitiesforadvancement,continuingeducationcredits","healthinformationtechnology,microsoftexcel,organizationalskills,projectmanagement,medicalrecords,healthinformationmanagement,microsoftoutlook,rhia,microsoftoffice,computerscience,typing,medicalterminology,rhit,customerservice,hipaa,analysisskills,computerskills,microsoftword",https://www.simplyhired.com/job/233B9pj5fDR1bgRBqkhS-Yi_orPRxMgxq2-T47erlw5rG_H0pxxwLw,Others,senior,Remote,18,2,54460.0,1,4/10/2023
472,QA Engineer,87100.0,110000.0,0.0,0.0,1.0,Covetrus,2.4,,,Full-time,"visioninsurance,healthsavingsaccount,flexiblespendingaccount,paidtimeoff,paidparentalleave,401(k)matching,healthinsurance,paidmilitaryleave,dentalinsurance,militaryleave,401(k),petinsurance,parentalleave","distributedsystems,perl,c#,3years,java,c++,ruby,php,mysql,designpatterns,soapui,unix,sql,bachelor'sdegree,t-sql,python,rest,datastructures,javascript,postgresql,agile,soap,oop,computerscience,restfulapi",https://www.simplyhired.com/job/8hxA73obStyfPzpNHASHU3Xc8APE8Zfp2oBYEcI41GpsNmyXKtW3hw,Others,,Remote,25,13,98550.0,1,nan
473,Software Project Support Analyst,65000.0,95000.0,0.0,0.0,1.0,Bastian Solutions - A Division of Toyota,,,,Full-time,"visioninsurance,flexiblespendingaccount,healthsavingsaccount,paidtimeoff,flexibleschedule,401(k)matching,tuitionreimbursement,employeeassistanceprogram,healthinsurance,professionaldevelopmentassistance,employeediscount,dentalinsurance,referralprogram,401(k),parentalleave,lifeinsurance","under1year,ssrs,3years,4years,business,1year,softwaretesting,analysisskills,6years,associate'sdegree,bachelorofscience,2years,systemdesign,9years,communicationskills,sql,bachelor'sdegree,tfs,sharepoint,7years,noexperienceneeded,8years,softwaredevelopment,5years,computerscience",https://www.simplyhired.com/job/pDOO4elJDyazKDjYRfhqt-FH6rBuQRE9sETgSkY1Fd9y1F4AFheAPA,Analyst,senior,Remote,25,16,80000.0,1,nan
