,Job,Salary_Begin,Salary_End,Hourly,Monthly,Yearly,Company,Rating,Posted_Date,Posted_Month,Type,Benefits,Qualifications,Job Link,Job_simp,Job_seniority,Location_type,num_Qualifications,num_Benefits,Salary_Average,num_Type
554,Associate Security Software Engineer,90000.0,115000.0,0.0,0.0,1.0,PAYLOCITY CORPORATION,3.4,30.0,9.0,Full-time,"healthinsurance,rsu,401(k)matching,dentalinsurance,visioninsurance,401(k)","computerscience,react,angular,mobileapplications,javascript,jquery,perl,bachelor'sdegree,ruby,php,nosql,.net,python,apis,aws,softwaredevelopment,paylocity,1year,informationsecurity,docker,vulnerabilitymanagement,sql,mongodb,scripting,vulnerabilityassessment,vulnerabilityresearch",https://www.simplyhired.com/job/kVeWdBItbZat5ZTBFBe2nBD8gr47C-X8ReR4zxjGO6eqrvayPtIrdA,Security Engineer,,,26,6,102500.0,1
555,Tester II,85200.0,108000.0,0.0,0.0,1.0,Jazz Solutions Inc,,23.0,9.0,Full-time,nan,"computerscience,react,angular,military,microservices,springboot,jquery,soapui,rest,bachelor'sdegree,webdevelopment,node.js,gherkin,safe,testautomation,java,docker,restfulapi,spring,mysql,jira,cucumber,json,apis",https://www.simplyhired.com/job/DfiV9PkzLI-qyfjbarwSd6Z46RzfiTVyE1RR17hOhhmwsCsn2Nswew,Others,,,24,0,96600.0,1
556,EndPoint Administrator,70000.0,84000.0,1.0,0.0,0.0,"Aespatech,LLC",,,,Contract,nan,"windows,softwaredeployment,computerscience,powershell,communicationskills,11+years,3years,management,vmware,lan,intune,macos,microsoftoffice,landesk,customerservice,gpo,vulnerabilitymanagement,10years,microsoftwindowsserver,scripting,sccm",https://www.simplyhired.com/job/E_YnsNgEL5uH7y3mzl5p9WzTS3RjBiuTE3VKZi9XYcAi9BBeD1DVzQ,Administrator,,,21,0,77000.0,1
557,Data Analyst,89800.0,114000.0,0.0,0.0,1.0,Steampunk,4.5,3.0,10.0,nan,nan,"warehouseexperience,datamodeling,computerscience,communicationskills,datascience,fips,googlecloudplatform,datamanagement,3years,management,bachelor'sdegree,nosql,agile,datawarehouse,encryption,aws,redshift,azure,customerservice,informationsystems,sql,databases",https://www.simplyhired.com/job/aPVzk1tXLfMZn9iFD2P3axeuQF9x5Eir64e02S-ZWRVxHofxXDMpdQ,Analyst,,,22,0,101900.0,0
558,AS400 QA,77600.0,98200.0,0.0,0.0,1.0,iSageBrum Technologies Pvt Ltd,,,,Full-time,nan,"computerscience,5years,softwaredevelopment,bachelor'sdegree,apis,erpsystems,as400,timemanagement",https://www.simplyhired.com/job/a17ZP4fY3qbzuMFmnFpAZV0KpvI8jJaDQkPxDnbuLswiBn3O7GgIVA,Others,,,8,0,87900.0,1
559,Entry Level Sdet Role,70000.0,74100.0,1.0,0.0,0.0,Staff IT SOL INC,,28.0,9.0,Contract,"referralprogram,visasponsorship","testautomation,java,computerengineering,javascript,selenium,under1year,computerscience,sql,noexperienceneeded,cptcoding,python,communicationskills,master'sdegree,bachelor'sdegree,1year",https://www.simplyhired.com/job/nlVl0gsXaNyZsCvaJHg3_-sq20DaxFgLbTTc88OIQqP7jjl1jlCnvg,Others,junior,,15,2,72050.0,1
560,IT Infrastructure Specialist,77000.0,97500.0,0.0,0.0,1.0,HIAS Inc,4.0,5.0,10.0,nan,nan,"itinfrastructure,azure,activedirectory,it,vulnerabilitymanagement,computerscience,3years,cloudinfrastructure,rootcauseanalysis,bachelor'sdegree,hebrew",https://www.simplyhired.com/job/sonemlB3MUnO9jX8fSY7A4eVeqzGa9IP7hSLXOLL2Ku002Ur6H6fAw,IT Engineer,,,11,0,87250.0,0
561,Technical Analyst (Hybrid-Remote),64000.0,96000.0,0.0,0.0,1.0,BAXTER,3.8,22.0,9.0,Full-time,nan,"mobiledevicemanagement,computerskills,windows,it,mobileiron,tcp,mobiledevices,computerscience,tcp/ip,3years,management,vmware,microsoftwindowsserver,intune",https://www.simplyhired.com/job/kzXcB5S1evkG4LbNC9jPKndTjT_ZSt0OPq6KKfr3ekmHMuwKibh6Jg,Analyst,,Hybrid,14,0,80000.0,1
562,Sr QA Engineer,92000.0,126000.0,0.0,0.0,1.0,PAR,3.7,27.0,9.0,nan,nan,"pos,scrum,strategicplanning,agile,functionaltesting,computerscience,5years,rootcauseanalysis,softwaredevelopment,bachelor'sdegree",https://www.simplyhired.com/job/xDhh4P71Lgi5C3xjVSzaedVDsj-1mYTQ8A7Oe3NNf6Cz_LhG1ZlWAA,Others,senior,,10,0,109000.0,0
563,Technical Support - Manager/Senior Manager - Remote,70000.0,95000.0,0.0,0.0,1.0,The Yay Company,4.4,5.0,10.0,Full-time,"healthinsurance,disabilityinsurance,paidtimeoff,dentalinsurance,lifeinsurance,visioninsurance,401(k),flexiblespendingaccount","it,masterdatamanagement,computerscience,projectmanagement,management,organizationalskills,communicationskills,bachelor'sdegree,softwaretroubleshooting,training&development",https://www.simplyhired.com/job/TaDVuVTkv_RB69YNikoKUlVKfcbjyRTw4Wya4CdC4cpyHfhlLFZF9w,Manager,senior,Remote,10,8,82500.0,1
564,Senior Data Analyst,75000.0,100000.0,0.0,0.0,1.0,Cotiviti,3.3,24.0,9.0,Full-time,"healthinsurance,disabilityinsurance,familyleave,paidtimeoff,dentalinsurance,lifeinsurance,visioninsurance,401(k)","datamining,microsoftword,microsoftoffice,microsoftexcel,bachelor'sdegree,computerscience,hedis,sql,microsoftpowerpoint,2years,communicationskills,dataanalysisskills",https://www.simplyhired.com/job/4FPrDrnX_PNLHFrcfsKrXVbpnt02jf1Lg-ni8ajtqJtO90FoqFsj4g,Analyst,senior,,12,8,87500.0,1
565,"Analyst, Digital Systems",72000.0,99000.0,0.0,0.0,1.0,Shiseido Americas Corporation,3.8,,,nan,nan,"xml,java,confluence,sass,javascript,webservices,jquery,css,computerscience,jira,html5,microsoftsqlserver,businessrequirements,communicationskills,bachelor'sdegree,1year,salesforce,e-commerce",https://www.simplyhired.com/job/pHMjzRBWlBxzsBWddc93hS34UudlNV3eWKE8818lLgGsyANYSubbjQ,Analyst,,,18,0,85500.0,0
566,Cybersecurity Specialist,77800.0,98500.0,0.0,0.0,1.0,"MEDLOGIX, LLC",2.6,,,nan,nan,"ceh,azure,windows,informationsecurity,firewall,vulnerabilitymanagement,it,computerscience,iso27001,comptiasecurity+,microsoftaccess,communicationskills,microsoftwindowsserver,bachelor'sdegree,niststandards,cissp,softwaretroubleshooting",https://www.simplyhired.com/job/7R0xfnjsUubg6C0dE-1LDMLpNnSUqwVgWC0fMHLsFraSBg_ooWwF-Q,Security Engineer,,,17,0,88150.0,0
567,Java Engineer (Mid-level),91300.0,116000.0,0.0,0.0,1.0,Ad.net,,6.0,10.0,Full-time,"healthinsurance,unlimitedpaidtimeoff,flexibleschedule","computerscience,spark,ci/cd,marketing,kafka,devops,hadoop,javascript,html5,3years,apachehive,bachelor'sdegree,bigdata,agile,.net,java,docker,spring,.netcore,bachelorofscience",https://www.simplyhired.com/job/VFV08EigluxL346ZZy1VGEERGi5eUzqJqCGs5qhhUIT1_GJi9ogelA,Others,,,20,3,103650.0,1
568,Custom Reports Programmer I,51000.0,69000.0,0.0,0.0,1.0,PAYLOCITY CORPORATION,3.4,23.0,9.0,Full-time,"healthinsurance,401(k)matching,dentalinsurance,visioninsurance,401(k)","xml,payroll,xslt,crystalreports,computerscience,sql,1year,microsoftsqlserver,accounting,bachelor'sdegree,paylocity,ssrs,softwaretroubleshooting",https://www.simplyhired.com/job/XMxroY9mMjZbsaHF-xZjHFWYfGaJ-tibYdFeZPVMogvYVjVCHW1kOA,Others,senior,,13,5,60000.0,1
569,PACS Application Specialist,65000.0,85000.0,0.0,0.0,1.0,Technologix,4.3,,,Full-time,"healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,401(k)","cardiology,english,customerservice,technicalsupport,computerscience,5years,bachelor'sdegree,dicom,outpatient",https://www.simplyhired.com/job/sIt_sZrORenA-ZgVPQAX9LBrtURvhbr_6-Q6oKOlNAAOt5T2bQq4jw,Others,,,9,5,75000.0,1
570,Data Privacy Analyst,81500.0,107700.0,0.0,0.0,1.0,Adswizz,1.0,30.0,9.0,Full-time,nan,"informationsecurity,doctoroflaw,law,computerscience,projectmanagement,3years,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/HmIOsB_VANZPYQ2PtA72UEbKL4cPdepgTOP7AwUlhDxpwD-CC7YrjQ,Analyst,,,8,0,94600.0,1
571,Active Directory Administrator/IT Analyst (Remote),79100.0,100000.0,0.0,0.0,1.0,ActioNet,3.7,,,Full-time,nan,"windows,computerscience,servicenow,iso20000,remedy,powershell,communicationskills,hdicertification,authentication,iso27001,3years,organizationalskills,bachelor'sdegree,agile,technicalwriting,azure,computerskills,writingskills,it,activedirectory,helpdesk",https://www.simplyhired.com/job/AgixjGWk7uIVqgf13PFpiZB8gFXrnTfxYBarj16S1abNsiEzThnRcw,Analyst,,Remote,21,0,89550.0,1
572,Healthcare Data Integration Specialist,87900.0,111000.0,0.0,0.0,1.0,J2 Interactive,5.0,,,"Full-time,Contract","healthinsurance,disabilityinsurance,401(k)matching,profitsharing,dentalinsurance,visioninsurance,401(k)","xml,xslt,it,oop,management,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/_sY-UzBCO4TbeSingDrgWaGiwOD76eiPEmoMA9J_pIPJY_2g-567HQ,Others,,,7,7,99450.0,2
573,IT Technical Writer - Temporary (Remote),54100.0,68500.0,0.0,0.0,1.0,OneDigital,3.8,,,Full-time,nan,"productmanagement,english,writingskills,informationsecurity,cybersecurity,analysisskills,organizationalskills,2years,communicationskills,bachelor'sdegree,technicalwriting,editing,research",https://www.simplyhired.com/job/f5tk6hQcAu0no-rnpWbQApHvfKiA_jG1xHksH_lx4_s1oCzjdAr0Zw,IT Engineer,,Remote,13,0,61300.0,1
574,Quality Assurance (QA) Engineer,85500.0,108000.0,0.0,0.0,1.0,"Lotic.ai, Inc.",,,,nan,unlimitedpaidtimeoff,"agile,selenium,computerscience,ci/cd,3years,analysisskills,communicationskills,ai,bachelor'sdegree,apis",https://www.simplyhired.com/job/_A3H8qrCTthPCMkxEvnASM2bRhispVU-SvBt66IydEaVxd2rN3_o-A,Quality Assurance Engineer,,,10,1,96750.0,0
575,Application Support Analyst - Remote,87400.0,111000.0,0.0,0.0,1.0,Oldcastle Infrastructure,2.5,6.0,10.0,nan,"healthinsurance,workfromhome,dentalinsurance","technicalsupport,computerscience,itsupport,communicationskills,softwaretroubleshooting,5years,organizationalskills,bachelor'sdegree,computerengineering,microsoftexcel,projectmanagement,macros,softwareengineering,customerservice,it,informationsystems,applicationsupport,sql,systemsengineering",https://www.simplyhired.com/job/Jph3OnyI9M19vabbntdAQbFEw1aDzUeSTCo70AwhYLoLSgNesWZE9A,Analyst,,Remote,19,3,99200.0,0
576,Infrastructure as Code (IaC) Engineer,140000.0,200000.0,1.0,0.0,0.0,Synovize,,23.0,9.0,"Full-time,Contract","healthinsurance,401(k)matching,paidtimeoff,referralprogram,dentalinsurance,lifeinsurance,flexibleschedule,visioninsurance,401(k)","terraform,docker,ansible,computerscience,awscertification,python,ci/cd,topsecretclearance,aws,kubernetes,bachelor'sdegree,devops",https://www.simplyhired.com/job/mcoDiBU5UkzPASd8k4BQCJ6SudozGlPYX2LKemgZNgKa7yvpq-myiQ,Others,,,12,9,170000.0,2
577,System Administrator,100000.0,110000.0,1.0,0.0,0.0,MINDFUL TECH SOLUTIONS INC,,,,"Full-time,Contract","healthinsurance,paidtimeoff,dentalinsurance","security,windows,activedirectory,8years,operatingsystems,systemarchitecture,systemadministration,computerscience,linux,vmware,communicationskills,microsoftwindowsserver,bachelor'sdegree,technicalwriting,softwaretroubleshooting",https://www.simplyhired.com/job/5TWs1wU3dKRVpa_Q7o6eDeY9X3d4Dl7lv7rAEOgi6QP0tfu3jOxxFw,Administrator,,,15,3,105000.0,2
578,Consultant,82600.0,105000.0,0.0,0.0,1.0,"Palladin Consulting, LLC DBA Palladin Technologies",,22.0,9.0,nan,nan,"computerscience,analysisskills,2years,communicationskills,bachelor'sdegree,salesforce",https://www.simplyhired.com/job/XD-SVCA_7O4tjH4lm2ZHOZ9lksatdX1yiKbWuV4Rvy7PAPCLTUf92Q,Others,,,6,0,93800.0,0
579,Back End Engineer,110000.0,139000.0,0.0,0.0,1.0,Mashvisor Inc.,3.0,3.0,10.0,Full-time,nan,"php,node.js,uidevelopment,javascript,express.js,computerscience,designpatterns,ux,3years,back-enddevelopment,debugging,apis,performancetesting",https://www.simplyhired.com/job/jAb2xdiEuOBEnaebah0We4E1ouYQ4YkIqnIIRwaw559FFy2IOPw2qQ,Others,,,13,0,124500.0,1
580,Fullstack Software Engineer III,117000.0,148000.0,0.0,0.0,1.0,Seed,4.1,,,Full-time,"healthinsurance,disabilityinsurance,employeeassistanceprogram,401(k)matching,dentalinsurance,ad&dinsurance,401(k),visioninsurance","computerscience,5years,bachelor'sdegree,databases,relationaldatabases",https://www.simplyhired.com/job/XvpoKCcI-v4fyiKjAQ06OuPOCr5JDeRYw0_m_C097Ms9LbDE_8Y0wA,Software Engineer,,,5,8,132500.0,1
581,Kotlin Mobile App Developer,70000.0,120000.0,0.0,0.0,1.0,Synovize,,23.0,9.0,"Permanent,Full-time","healthinsurance,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,flexibleschedule,visioninsurance,401(k)","restfulapi,computerscience,secretclearance,reactnative,jira,androiddevelopment,python,git,designpatterns,communicationskills,master'sdegree,mobileapplications,bachelor'sdegree,kotlin,flutter",https://www.simplyhired.com/job/hug1vpL85e5D1UWiloytRp5X8NU-NyVU76oOacIQ-nvszjvIEaHtCA,Software Developer,,,15,8,95000.0,2
582,MySQL Database Administrator,89053.0,108930.0,0.0,0.0,1.0,365 Retail Markets,3.5,28.0,9.0,Full-time,"healthinsurance,tuitionreimbursement,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,professionaldevelopmentassistance,flexibleschedule,lifeinsurance,visioninsurance,referralprogram,401(k),flexiblespendingaccount","softwaredeployment,computerscience,linux,communicationskills,pci,shellscripting,analysisskills,bachelor'sdegree,intelligencetargeting,businessinformationsystems,aws,redshift,databaseadministration,oracle,unix,mysql,etl,microsoftsqlserver,2years,databases,scripting",https://www.simplyhired.com/job/y8rRcb0XbuY3YsCWGThm8jOK19UFYiJzcqhbfqBdUjnN8lWtpxb9Jw,Administrator,,,21,13,98991.5,1
583,Cybersecurity Data Analyst - Remote,116000.0,147000.0,0.0,0.0,1.0,MindPoint Group,4.1,28.0,9.0,nan,"healthinsurance,disabilityinsurance,cellphonereimbursement,401(k)matching,commuterassistance,professionaldevelopmentassistance,dentalinsurance,lifeinsurance,referralprogram,parentalleave,401(k),visioninsurance","informationsecurity,it,informationsystems,computerscience,fisma,naturallanguageprocessing,6years,tableau,regressionanalysis,machinelearning,niststandards,dataanalysisskills,powerbi",https://www.simplyhired.com/job/FI1XIbXJTcpjecYUoS8cVrl1DusJ_kpyjB5KbLjm2wM3ZYQ6pgLN5g,Analyst,,Remote,13,12,131500.0,0
584,User Experience Designer,95000.0,105000.0,0.0,0.0,1.0,Lap of Love,4.0,28.0,9.0,Full-time,"healthinsurance,gymmembership,disabilityinsurance,paidparentalleave,401(k)matching,paidtimeoff,dentalinsurance,bereavementleave,lifeinsurance,parentalleave,401(k)3%match,petinsurance,401(k),visioninsurance","computerskills,front-enddevelopment,ui,javascript,figma,css,projectmanagement,usability,ux,html5,3years,microsoftaccess,analysisskills,responsivewebdesign,communicationskills,bachelor'sdegree,research",https://www.simplyhired.com/job/4-aqcGg15SJ2YRSnxgSpDOos-kAlm9Om68L4rYApci981pquLlT52A,Others,,,17,14,100000.0,1
585,Information Security Analyst,100000.0,120000.0,0.0,0.0,1.0,"Tantus Technologies, Inc",4.3,27.0,9.0,Full-time,"healthinsurance,401(k)matching,paidtimeoff,professionaldevelopmentassistance,dentalinsurance,lifeinsurance,flexibleschedule,referralprogram,parentalleave,401(k),flexiblespendingaccount,visioninsurance","informationsecurity,cism,computerscience,5years,rmf,niststandards,bachelor'sdegree,cissp,fips",https://www.simplyhired.com/job/jdse4JB5K5X-BXZ_6BcmMwyFTk3FZSZCMOYn66O10ZcbJ1ieHZXqMw,Analyst,,,9,12,110000.0,1
586,Full Stack Software Engineer,115000.0,130000.0,0.0,0.0,1.0,Kalibri Labs,4.7,5.0,10.0,Full-time,"healthinsurance,disabilityinsurance,employeeassistanceprogram,401(k)matching,dentalinsurance,lifeinsurance,visioninsurance,401(k)","computerscience,ci/cd,communicationskills,angular,solutionarchitecture,javascript,springboot,5years,html5,rest,bachelor'sdegree,productdevelopment,databasedesign,typescript,css,designpatterns,java,spring,informationsystems",https://www.simplyhired.com/job/1goBU4G5rPD9Ba1-F5LyK0BDckg-WVLeK-KCLtrhiAxhOi7w0rgdyg,Software Engineer,,,19,8,122500.0,1
587,QA Analyst (Hybrid - East Coast),65500.0,82900.0,0.0,0.0,1.0,iPipeline,3.2,,,Full-time,"paidtimeoff,lifeinsurance,employeestockpurchaseplan,401(k),wellnessprogram","computerskills,computerscience",https://www.simplyhired.com/job/3ANUw3c7TdIGgbiImhhn-zJVvFanRX7Wnol0feu1RJyLtt6ponc9QA,Analyst,,Hybrid,2,5,74200.0,1
588,Desktop Architect,108000.0,136000.0,0.0,0.0,1.0,Osaic,3.4,,,Full-time,workfromhome,"windows,activedirectory,8years,computerscience,python,processimprovement,networkprotocols,powershell,communicationskills,bachelor'sdegree,scripting,intune",https://www.simplyhired.com/job/ZydWa3L3PUcMvhKzPZaj-A6DeLhN_UoPJZHrNVwFhEv3l4EsfWz7eA,Others,,,12,1,122000.0,1
589,Telecom Analyst,89900.0,114000.0,0.0,0.0,1.0,Upward Talent,,4.0,10.0,Full-time,nan,"it,computerscience,5years,budgeting,accounting,bachelor'sdegree,telecommunication,compliancemanagement",https://www.simplyhired.com/job/hr4fIxioKs_Hg2qRhW3VAjWn5tGQcc4svBFsoGOC0-1GK7A3ik326Q,Analyst,,,8,0,101950.0,1
590,Windows Systems Administrator,70000.0,150000.0,0.0,0.0,1.0,Synovize,,26.0,9.0,"Permanent,Part-time,Full-time,Contract","healthinsurance,tuitionreimbursement,employeeassistanceprogram,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,professionaldevelopmentassistance,flexibleschedule,employeediscount,parentalleave,relocationassistance,lifeinsurance,referralprogram,retirementplan,401(k),flexiblespendingaccount,visioninsurance","windows,7years,computerscience,noexperienceneeded,9years,11+years,8years,5years,secretclearance,3years,management,vmware,bachelor'sdegree,virtualization,dhcp,tcp,4years,tcp/ip,6years,under1year,1year,activedirectory,dns,10years,topsecretclearance,2years,qclearance,microsoftwindowsserver",https://www.simplyhired.com/job/0QgeWrlMH3SIhT3bBNXzQXaBGu0c0IoefnbwQPia3xxKfxX7xYb_fg,Administrator,,,28,18,110000.0,4
591,Network Support Engineer II - Remote,59700.0,75600.0,0.0,0.0,1.0,Allbridge,2.5,,,Full-time,"healthinsurance,disabilityinsurance,profitsharing,paidtimeoff,ad&dinsurance,401(k),flexiblespendingaccount,visioninsurance","english,windows,ftp,microsoftword,meraki,linux,networkengineering,communicationskills,hospitality,networksupport,bachelor'sdegree,lan,dhcp,tcp,microsoftexcel,tcp/ip,computernetworking,sharepoint,customerservice,ipnetworking,unix,2years",https://www.simplyhired.com/job/5eBxj6bEx2NkmW-Gh5JueTenFu5Sw4C1XXYeesXj3xAu24wIYN535g,Others,,Remote,22,8,67650.0,1
592,SW Tech Mktg Engineer for Game Testing (dGfx/iGfx),,,,,,INTEL,4.1,1.0,10.0,Full-time,healthinsurance,"laboratoryexperience,computerscience,highschooldiplomaorged,marketing,analysisskills,master'sdegree,bachelor'sdegree,1year",https://www.simplyhired.com/job/SP8FKPdxLghyO-Alcg3QTr_-Wv7tegTpGrGgEaCgz86ZuVtl_ls48g,Others,,,8,1,,1
593,Software Engineer,103000.0,128500.0,0.0,0.0,1.0,Shell Recharge Solutions,,27.0,9.0,Full-time,"healthinsurance,on-sitegym,paidtimeoff,dentalinsurance,visioninsurance,401(k),freeparking","computerscience,distributedsystems,linux,ci/cd,communicationskills,angular,microservices,kafka,javascript,springboot,3years,management,bachelor'sdegree,j2ee,scrum,nosql,agile,aws,kubernetes,softwaredevelopment,github,java,docker,restfulapi,redis,spring,hibernate,elasticsearch,sql,jira,scalability,apis,databases",https://www.simplyhired.com/job/zxzZgUlgR-RaDlF1I0DicrXsPx76rz3maIX9X0WT4QDP1Xu85nOxHA,Software Engineer,,Physical,33,7,115750.0,1
594,Chief Information Security Officer (CISO),220000.0,260000.0,0.0,0.0,1.0,Goldfein Claims Management,3.4,,,Full-time,"healthinsurance,opportunitiesforadvancement,401(k)matching,paidtimeoff,dentalinsurance,visioninsurance,401(k)","azure,windows,informationsecurity,cism,cloudsecurity,informationsystems,computerscience,10years,management,communicationskills,master'sdegree,identity&accessmanagement,bachelor'sdegree,cissp,riskmanagement",https://www.simplyhired.com/job/ka3dviKtUMP1rtw_Ti5QkSvnFyROqoLttH_kPYfq41uuWydiEMSB8A,Security Engineer,,,15,7,240000.0,1
595,Software Developer,74900.0,94900.0,0.0,0.0,1.0,"Computer Information Systems, Inc.",4.0,,,Full-time,"healthinsurance,paidtimeoff,dentalinsurance,lifeinsurance,401(k)","t-sql,agile,oop,c#,computerscience,sql,visualstudio,softwaretesting,applicationdevelopment,microsoftsqlserver,master'sdegree,softwaredevelopment,bachelor'sdegree,2years,communicationskills",https://www.simplyhired.com/job/YG-MBG1st3U_DSeF1Rq5q29ooTzwHCGlzYNPBycZ3x-8P4nNQY8RnQ,Software Developer,,,15,5,84900.0,1
596,Configuration Analyst,62100.0,78600.0,0.0,0.0,1.0,Medical Informatics Engineering,3.0,4.0,10.0,nan,"healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,flexibleschedule,visioninsurance,401(k)","microsoftoffice,microsoftexcel,informationsystems,computerscience,bachelor'sdegree,sql,analysisskills,organizationalskills,communicationskills,dataanalysisskills,datascience,databases",https://www.simplyhired.com/job/j8Kb3bCdFZPhh4IFfK633Izb0sFBxxME_0xn3futGxG0To_8oEHJCg,Analyst,,,12,7,70350.0,0
597,"Technical Support Engineer, PeopleSoft Campus Solutions",80000.0,114000.0,0.0,0.0,1.0,Modo Labs,4.5,,,Full-time,"healthinsurance,internetreimbursement,disabilityinsurance,401(k)matching,paidtimeoff,dentalinsurance,parentalleave,401(k),visioninsurance","php,node.js,lms,webservices,oop,computerscience,noexperienceneeded,3years,git,applicationdevelopment,peoplesoft,aws,mobileapplications,bachelor'sdegree,ellucian,github,apis,blackboard",https://www.simplyhired.com/job/ygtSOqiHeQUWs8QqCE4FMsjsN-R2Z4FE5hvvedDF2-ZdaO4scggoIQ,Others,,,18,9,97000.0,1
598,Network Engineer,74400.0,94200.0,0.0,0.0,1.0,"42, Inc.",,27.0,9.0,Full-time,"healthinsurance,401(k)matching,paidtimeoff,healthsavingsaccount,lifeinsurance,flexibleschedule,foodprovided,401(k)","ccna,it,tcp,dns,computerscience,ccie,tcp/ip,networkengineering,networksecurity,communicationskills,ccnp,bachelor'sdegree,lan,dhcp,firewall,networkadministration",https://www.simplyhired.com/job/_h_22bZcuePF0mKBW9DSCjxBfxndsCr9fViiN_SOsmUjqBCk_kZaZQ,Others,,,16,8,84300.0,1
599,Backend Engineer,100000.0,110000.0,0.0,0.0,1.0,Reorg Research,,,,nan,"healthinsurance,gymmembership,401(k)matching,paidtimeoff,parentalleave,401(k)","php,microsoftexcel,computerscience,slack,mysql,python,rootcauseanalysis,back-enddevelopment,apis,ai,bachelor'sdegree,postgresql",https://www.simplyhired.com/job/Ur6YRQGOiFNqsnNtTvnfVH97dRzimbM6Hkz3RpsJiMgqamb_8NCRVg,Others,,,12,6,105000.0,0
600,"Private Computer Science Tutor (Remote, California)",20000.0,100000.0,1.0,0.0,0.0,Lessonpal,,,,Part-time,flexibleschedule,"communicationskills,computerscience",https://www.simplyhired.com/job/wG5w-beTVfOPrn6U4lkb65KZA5QSb-MgDEEX66WeS1DhlgYm_Jx2oQ,Others,,Remote,2,1,60000.0,1
601,Computer System Analyst (QA & Support),59800.0,75700.0,0.0,0.0,1.0,Icon Technical Group,4.7,,,nan,"healthinsurance,disabilityinsurance,travelreimbursement,commuterassistance,healthsavingsaccount,dentalinsurance,paidtimeoff,flexibleschedule,lifeinsurance,dependentcarereimbursement,flexiblespendingaccount,visioninsurance","softwaredeployment,computerscience,4years,communicationskills,softwarequalityassurance",https://www.simplyhired.com/job/smjtxAOAFt53LTHrJ96Q2VmEPBfGMpabVCiMYfcoB7Y9XGhBNt35Kw,Analyst,,,5,12,67750.0,0
602,Software Developer,80000.0,90000.0,0.0,0.0,1.0,Opus Inspection,,,,Full-time,"healthinsurance,tuitionreimbursement,401(k)matching,paidtimeoff,dentalinsurance,lifeinsurance,visioninsurance,401(k)","kanban,agile,computerscience,visualbasic,c#,sql,visualstudio,git,.netcore,2years,softwaredevelopment,communicationskills,bachelor'sdegree,devops",https://www.simplyhired.com/job/c7CloEHSBJ4NbEEl1_GrFIW5Qyl6TtT2JN68Y2pUemoIMiHfoKO10Q,Software Developer,,,14,8,85000.0,1
603,Software Developer,75000.0,150000.0,0.0,0.0,1.0,HouseAmp,,,,Full-time,"healthinsurance,dentalinsurance,lifeinsurance,visioninsurance","ios,restfulapi,dart,computerscience,cloudinfrastructure,1year,aws,softwaredevelopment,bachelor'sdegree,productdevelopment,timemanagement,full-stackdevelopment,softwaretroubleshooting,flutter",https://www.simplyhired.com/job/JBnyqaKJxOsxuVLaXiZLFJYwyeab0vCuTo6BtCGLYMP-uWKVMlF1qg,Software Developer,,,14,4,112500.0,1
604,PCS Engineer,88400.0,112000.0,0.0,0.0,1.0,Micron,3.7,6.0,10.0,Part-time,"paidtimeoff,dentalinsurance,visioninsurance,familyleave","bachelor'sdegree,computerscience,electronicsengineering",https://www.simplyhired.com/job/0zD-KpFf6kZvaSSaHcs6a0HUl-MBpBdf-aJ6xswd5TDjwON0QMvkSQ,Others,,,3,4,100200.0,1
605,Technical Support Specialist (Remote),63600.0,80500.0,0.0,0.0,1.0,TriMech Solutions,3.5,23.0,9.0,Full-time,nan,"netsuite,windows,oracle,bachelor'sdegree,engineering,computerscience,datamanagement,sql,systemsengineering,computernetworking,microsoftsqlserver,2years,communicationskills,bachelorofscience,solidworks,cad",https://www.simplyhired.com/job/wSqp2B9iDXw7JFFJbGxznRbTQWoNx3jrnoyc_HANXbBzowlgiBq7OA,Others,,Remote,16,0,72050.0,1
606,Software Engineer & Technical Support Technician,60700.0,76900.0,0.0,0.0,1.0,Tech Group International,,,,Full-time,"healthinsurance,paidtimeoff,401(k)","english,computerscience,ssrs,mvc,asp.net,javascript,c#,html5,bachelor'sdegree,t-sql,css,iis,computernetworking,enterprisesoftware,sql,unittesting,.netcore,apis,customersupport",https://www.simplyhired.com/job/UTh4DFBQ8zqvgCmkpJb6XUoht6JimEeFxtLNNqrhBzrYodjK5I9_LA,Software Engineer,senior,,19,3,68800.0,1
607,Test Engineer II,74900.0,94800.0,0.0,0.0,1.0,"Development Dimensions International, Inc.",,22.0,9.0,nan,nan,"continuousintegration,selenium,computerscience,communicationskills,mobileapplications,sqlservermanagementstudio,groovy,devops,javascript,management,organizationalskills,bachelor'sdegree,timemanagement,scrum,agile,gherkin,python,softwaretesting,sdlc,github,azure,microsoftsqlserver,bachelorofscience,apis",https://www.simplyhired.com/job/7stLnuG-zSbAl4WoBNVBGkdqSnKEJLpUGWsBY2zHmI_WjeXoYEDiiA,Others,,,24,0,84850.0,0
